state_county,nursing_home_count,overall_rating,health_insp_rating,qm_rating,longstay_qm_rating,shortstay_qm_rating,staffing_rating,rn_staffing_rating,nursing_turnover,rn_turnover,admin_turnover,nurse_aide_hrspres,lpn_hrspres,rn_hrspres,total_nurse_hrspres,total_weighted_health_survey_score,reported_incidents,substantiated_complaints,infection_control_citations,num_fines,fines_dollar_total,num_payment_denials,total_penalties
"IN, Kosciusko",6,3.33,2.83,3.83,3.0,4.0,3.0,3.0,53.3,38.04,1.5,2.15,0.73,0.69,3.54,53.44433333333333,4,36,8.0,8,65720.51,0,8
"IN, Madison",11,2.64,2.82,3.09,3.27,3.33,2.18,2.36,61.24,55.95,1.2,2.16,0.75,0.52,3.42,52.45454545454545,10,83,25.0,28,268377.62,0,28
"IN, Wabash",8,3.12,2.5,4.12,3.38,4.0,3.12,3.25,52.24,48.64,1.67,2.13,0.77,0.76,3.63,84.0835,23,38,21.0,22,262306.82,4,26
"IN, Monroe",7,4.14,4.0,4.0,3.57,4.33,2.29,2.57,52.23,59.6,3.2,1.61,0.91,0.56,3.08,24.857,2,7,6.0,5,7600.0,1,6
"IN, Shelby",5,2.4,2.4,4.4,4.6,3.75,1.4,1.8,43.38,56.25,1.75,1.71,0.63,0.34,2.64,58.2664,0,48,19.0,11,67925.0,1,12
"IN, Johnson",10,4.6,4.5,4.3,4.3,4.44,2.1,2.4,60.75,49.12,1.67,1.93,0.8,0.49,3.2,16.599899999999998,0,22,7.0,2,7946.25,0,2
"IN, Delaware",13,2.85,3.23,3.0,3.23,3.17,1.92,1.92,55.33,50.24,1.08,1.99,0.82,0.46,3.25,40.5256923076923,14,91,43.0,28,367228.58,3,31
"IN, Miami",4,2.25,2.25,2.5,2.5,2.33,2.5,2.5,61.47,62.08,2.5,1.91,0.79,0.51,3.18,80.12525,3,26,5.0,7,354620.43,0,7
"IN, Knox",6,3.0,3.33,3.17,3.33,3.6,2.33,2.83,55.88,41.42,1.2,1.84,0.72,0.66,3.21,62.61116666666667,0,26,16.0,12,135095.97999999998,4,16
"IN, Rush",2,3.5,3.0,4.0,3.0,5.0,2.5,3.0,65.45,70.75,1.0,1.45,0.77,0.66,2.85,38.0,0,12,1.0,1,9750.0,1,2
"IN, Huntington",5,2.6,2.6,3.0,3.4,2.33,2.8,2.8,63.6,55.42,0.33,2.27,1.02,0.58,3.84,54.566599999999994,7,42,12.0,8,366685.12,1,9
"IN, Dearborn",4,2.5,2.5,3.25,4.0,2.25,1.75,2.0,63.85,65.95,1.5,1.47,0.67,0.42,2.51,63.04175,1,24,2.0,7,95267.14,1,8
"IN, La Porte",5,2.0,2.0,4.0,4.0,3.8,1.6,1.6,57.84,58.08,2.0,1.71,0.77,0.4,2.89,99.66659999999999,3,121,13.0,15,275928.2,2,17
"IN, Howard",7,2.57,1.86,4.43,4.71,3.57,1.86,2.29,62.37,58.97,4.14,1.65,0.61,0.49,2.74,117.28557142857143,23,107,31.0,17,387983.04000000004,4,21
"IN, Floyd",7,2.57,2.43,3.29,3.57,3.0,2.71,2.86,63.3,56.96,2.86,1.96,1.12,0.66,3.7,71.85714285714286,20,123,30.0,37,424695.50000000006,0,37
"IN, Adams",4,4.75,4.75,3.25,3.75,3.0,3.25,3.25,47.57,33.5,1.67,2.36,0.69,0.94,3.95,13.6665,1,4,4.0,2,3900.0,0,2
"IN, Elkhart",13,3.38,2.69,4.54,4.62,3.92,2.69,2.85,54.78,47.45,2.45,2.12,0.8,0.66,3.55,86.6153846153846,8,130,34.0,27,289428.45,2,29
"IN, Henry",7,4.0,4.0,4.29,4.0,4.0,2.14,2.57,49.0,51.63,1.0,1.57,0.63,0.57,2.77,31.238,2,17,7.0,8,25962.69,0,8
"IN, Tippecanoe",11,2.73,2.36,3.55,3.73,3.0,2.82,3.27,55.51,54.03,2.7,2.08,0.77,0.74,3.55,60.04536363636364,11,111,11.0,20,71998.25,3,23
"IN, Allen",29,3.07,2.83,4.1,4.07,3.93,2.21,2.28,61.44,59.13,1.52,2.16,0.73,0.51,3.37,63.79879310344829,53,310,87.0,90,856601.79,4,94
"IN, Lawrence",6,3.83,3.67,3.67,3.83,3.2,2.5,3.0,45.95,46.7,2.2,1.85,0.76,0.61,3.2,32.0555,4,11,1.0,4,71139.2,1,5
